ID,Characters,Theme,Vocab,Target_Length,OutOfScopeGrammar
1,"ともこ, さやか",学校生活,夜、悲しい、月曜日、傾向,250,〜ながらも
2,"みさき, ちひろ",スポーツ,便利、新聞、水、促進,225,〜てみる
3,"みさき, だいち",冒険,寒い、便利、学校、充実,225,〜たところ
4,"まい, ゆうき",冒険,便利、まだ、日曜日、論理,225,〜ことにする
5,"ゆうき, そうた",夢,明るい、飲む、飲み物、技術,250,〜ようにする
6,"まなみ, けんじ",学校生活,まだ、毎年、たくさん、徹底,275,〜ば〜ほど
7,"さやか, まい",旅行,毎日、にぎやか、暗い、肯定,225,〜ば〜ほど
8,"ともこ, しゅん",旅行,よく、いつも、まだ、多様性,225,〜にしては
9,"かずき, まなみ",家族,にぎやか、小さい、怖い、矛盾,250,〜に違いない
10,"まこと, そうた",食べ物,手紙、悲しい、使う、主観,275,〜たとたん
11,"そうた, さやか",スポーツ,下手、小さい、毎月、肯定,250,〜たとたん
12,"まさと, けい",買い物,遠い、毎年、学校、抽象的,200,〜ことにする
13,"たろう, ちひろ",友情,昼、使う、時間、責任,200,〜ながらも
14,"ひな, まさし",旅行,分かる、火曜日、金曜日、改善,250,〜ながらも
15,"あきら, かずき",冒険,怖い、毎月、毎週、推論,225,〜てみる
16,"ゆうき, はなこ",旅行,朝ごはん、勉強、海、成長,200,〜つもり
17,"あい, かずき",学校生活,犬、まだ、今朝、社会,225,〜にしても
18,"みお, ひろこ",冒険,お茶、暑い、飲み物、推論,300,〜わけではない
19,"あきら, ゆか",冒険,悪い、今晩、まだ、社会,200,〜にしても
20,"そうた, けん",友情,午前、帽子、時々、論理,200,〜にしても
21,"けん, しょうた",家族,毎年、写真、使う、主観,275,〜わけにはいかない
22,"のぞみ, さやか",買い物,木曜日、鍵、始める、経済,200,〜てみる
23,"さとし, ともや",旅行,一緒に、海、手紙、模倣,300,〜たところ
24,"はるき, まい",友情,怖い、帽子、昼ごはん、文化,225,〜ておく
25,"ゆり, ひろこ",友情,昼、悲しい、海、影響,250,〜ことにする
26,"えりか, ともこ",冒険,不便、時間、たくさん、抽象的,300,〜ことがある
27,"かずき, ひろこ",食べ物,飲み物、金曜日、海、徹底,225,〜にしては
28,"たかし, だいち",家族,来月、午後、海、統計,300,〜に違いない
29,"ゆり, ゆうき",夢,夜、電話、来週、傾向,200,〜ことなく
30,"なお, こうた",冒険,遊ぶ、電話、昨日、社会,225,〜てみる
31,"ゆか, あい",夢,作る、大きい、走る、経済,275,〜たとたん
32,"はなこ, まい",冒険,不便、海、今晩、多様性,300,〜らしい
33,"しゅん, さくら",旅行,毎年、雑誌、不便、成長,300,〜にしても
34,"あすか, ちひろ",夢,靴、走る、趣味、矛盾,275,〜ことは〜が
35,"あきら, えみ",買い物,雑誌、小さい、簡単、肯定,275,〜ようにする
36,"まい, ともや",家族,良い、車、昼、経済,300,〜たとたん
37,"まなみ, みさと",友情,部屋、うれしい、犬、論理,250,〜たところ
38,"さやか, みさき",家族,見る、答え、読む、傾向,250,〜ないことはない
39,"たかし, しんじ",冒険,猫、洋服、分かる、肯定,300,〜わけではない
40,"まなみ, しゅん",冒険,店、木曜日、遊ぶ、文化,275,〜に違いない
41,"あや, たかし",友情,先週、楽しい、金曜日、矛盾,225,〜たばかり
42,"ゆうき, こうた",冒険,高い、もう、悲しい、肯定,300,〜たまま
43,"たかし, みゆき",自然,車、早い、道、多様性,200,〜ようだ
44,"みゆき, ちひろ",家族,毎日、静か、川、仮定,250,〜てみる
45,"しんじ, はなこ",スポーツ,犬、忙しい、帽子、仮定,300,〜ようだ
46,"かずき, みさき",旅行,土曜日、まだ、買う、技術,200,〜らしい
47,"さくら, みさき",学校生活,作る、山、明日、客観,250,〜らしい
48,"ゆうた, えみ",冒険,今日、有名、先生、制度,225,〜ようにする
49,"みお, はるき",学校生活,歩く、遠い、手紙、推論,250,〜ておく
50,"しょうた, みさき",スポーツ,木曜日、まだ、終わる、制度,300,〜たところ
51,"えりか, しょうた",食べ物,毎年、今朝、飲み物、傾向,250,〜たまま
52,"ひろし, さやか",自然,音楽、店、食べる、理論,225,〜ということだ
53,"ちひろ, なおき",友情,まだ、答え、待つ、多様性,200,〜てしまう
54,"たろう, こうた",スポーツ,悪い、火曜日、毎月、推論,250,〜わけにはいかない
55,"たろう, なおき",スポーツ,分かる、楽しい、飲む、概念,200,〜たばかり
56,"みゆき, なおき",学校生活,日曜日、来月、朝ごはん、抽象的,300,〜てしまう
57,"あや, ゆか",買い物,海、うれしい、たくさん、環境,200,〜ことがある
58,"ゆり, まい",友情,始める、勉強、新聞、抽象的,275,〜ば〜ほど
59,"えみ, まこと",旅行,まだ、遊ぶ、晩ごはん、経済,225,〜ようだ
60,"まい, みさと",食べ物,映画、怖い、今日、促進,300,〜ながらも
61,"あすか, みさき",自然,靴、家、洋服、影響,250,〜てみる
62,"けん, あきら",旅行,古い、悪い、寒い、文化,300,〜たとたん
63,"たろう, ゆり",食べ物,毎週、寒い、静か、責任,225,〜ことがある
64,"りく, こうた",友情,駅、朝、少し、社会,275,〜ば〜ほど
65,"しょうた, みゆき",スポーツ,下手、にぎやか、もう、仮定,300,〜つもり
66,"のぞみ, ゆうた",自然,金曜日、財布、古い、客観,250,〜ずに
67,"はるき, たろう",食べ物,立つ、飲み物、待つ、仮定,275,〜わけではない
68,"ひろこ, あすか",食べ物,終わる、友達、見る、責任,200,〜ておく
69,"けい, のぞみ",友情,遠い、見る、小さい、統計,250,〜ながらも
70,"なおき, しょうた",家族,もう、にぎやか、水曜日、抽象的,300,〜てみる
71,"あすか, けい",夢,夜、帽子、最近、文化,225,〜たまま
72,"かずき, けん",旅行,有名、安い、帽子、影響,200,〜ことがある
73,"しんじ, あすか",夢,店、洋服、昼ごはん、成長,200,〜らしい
74,"けん, たろう",スポーツ,店、来月、時々、統計,225,〜ておく
75,"まさと, なおき",冒険,今晩、問題、猫、改善,300,〜つもり
76,"しゅん, たかし",学校生活,電話、明るい、毎日、統計,300,〜てみる
77,"しゅん, ゆうき",スポーツ,新聞、水、使う、傾向,200,〜にしても
78,"のぞみ, ちひろ",家族,終わる、走る、有名、統計,225,〜たまま
79,"ひろこ, えりか",自然,書く、建物、旅行、制度,225,〜たところ
80,"ゆうき, ともこ",自然,海、水曜日、良い、論理,250,〜たばかり
81,"けんじ, たかし",買い物,財布、怖い、午後、統計,250,〜ようだ
82,"まさし, ゆり",友情,もう、忙しい、ビール、文化,200,〜ことは〜が
83,"えりか, たろう",夢,猫、運動、電話、分析,275,〜ながらも
84,"ちひろ, ゆり",自然,使う、遠い、早い、技術,225,〜に違いない
85,"まなみ, ちひろ",自然,暑い、ビール、悲しい、理論,225,〜らしい
86,"まさし, まこと",学校生活,来月、部屋、有名、承認,250,〜に違いない
87,"ゆり, まさし",学校生活,水、雑誌、月曜日、促進,225,〜ておく
88,"まこと, しょうた",友情,毎月、毎日、友達、概念,275,〜に違いない
89,"そうた, ゆうた",食べ物,静か、犬、飲み物、成長,300,〜わけではない
90,"えりか, そうた",家族,学校、時間、ビール、改善,225,〜てみる
91,"ゆり, ひろし",冒険,建物、食べ物、本、制度,225,〜てしまう
92,"りな, そうた",家族,昨日、新しい、食べ物、分析,200,〜ことにする
93,"さやか, しゅん",夢,運動、話す、飲む、概念,225,〜らしい
94,"あすか, なおき",自然,昼ごはん、手紙、牛乳、成長,200,〜たところ
95,"あすか, かおる",スポーツ,午後、映画、明日、政治,200,〜ということだ
96,"けんじ, しょうた",スポーツ,忙しい、月曜日、歩く、推論,275,〜ということだ
97,"えりか, まなみ",家族,食べ物、悲しい、財布、統計,225,〜てみる
98,"えみ, はなこ",家族,水曜日、今晩、少し、理論,300,〜ながらも
99,"あや, そうた",家族,水曜日、土曜日、本、政治,300,〜ないことはない
100,"みさと, ちひろ",食べ物,車、鍵、本、社会,225,〜つもり
